thematic;card;id;bearer;sign;conditions;lockturn;weight;question;override_yes;answer_yes;yes_church;yes_kingdom;yes_people;yes_economy;yes_custom;override_no;answer_no;no_church;no_kingdom;no_people;no_economy;no_custom;load_custom;vide
newstuff;_;1404;handmaid;;;;;Oooh! A handsome undead, suffering his curse in anguish!! Alone for centuries, with no true love!;Oooooh!!;What if you gave him a whiff of the royal perfume. <i><handmaid> says.</i>;-12;-8;15;;;Not my thing;But what if you gave him a whiff of the royal perfume? <i><handmaid> says.</i>;15;10;-15;;;;
newstuff;;1405;archbishop;;has_vampire;500;200;This supposed 'vampire' must be a devil sent to test our faith. You must be strong and pure, my Queen.;Okay;Should this demon approach you, brandish a holy object, <i><archbishop> says.</i>;15;12;-10;;;What about you?;I'm not the one always inviting interlopers and cultists to court, <i><archbishop> splutters!</i>;-15;-10;10;;;;
newstuff;;1406;explorer;;has_vampire;500;200;My lady, I feel faint! I have chills! I fear I may be afflicted with the vampire's curse, too! Help, what do I do?;Go to church;<i>He looks almost disappointed by the constructive advice.</i>;10;-8;-8;;;You look fine;<i>He sighs.</i> I am fine. I was just pretending so that girls would like me.;-10;8;8;;;;
newstuff;;1407;merchant;;has_vampire;500;40;Can you lend me some cash to create some trendy vampire souvenirs? Tourism will skyrocket!;;;;;15;-30;;;;15;;-15;;;;
newstuff;;1408;general;;has_vampire;500;40;We must hunt down the vampire scourge! Please, my Queen, fund our new silver weaponry!;Sure;<i>Wait, silver? Isn't that werewolves?</i>;;-18;;-20;;But...;<i><general> is embarrassed to learn that silver only works on werewolves.</i>;-10;18;;;;;
newstuff;;1409;farmer;;has_vampire and has_general;500;40;M-Majesty? Well, <general> dug up all my garlic to stop the vampire. May I be reimbursed?;Of course;;;;12;-33;;It's for the greater good;;;12;-33;;;;
newstuff;;1410;priestess;;has_vampire;500;40;My people don't believe in vampires. Don't you think there's another explanation?;I'm sure;;-18;10;8;;;Not sure ;;18;-10;-8;;;;
newstuff;;1411;hunter;;has_vampire;500;40;I will hunt down the foul vampire wherever he hides! Shall I bring him to you alive? Or dead?;Alive!;<i>Come to think of it, aren't vampires dead already?</i>;-19;-16;20;-12;;Dead!;<i>Come to think of it, aren't vampires dead already?</i>;19;16;-20;-20;;;
newstuff;;1412;vampire;;!vampiremet;500;200;Pardon me, O Highness, but I seem to be lost.;Oh?;;;;;;>;How did you get in here?;;;;;;>;vampiremet;
newstuff;_;1413;vampire;;;;;I am cursed with a hunger that cannot be slaked. But how could you possibly understand my pain?;Oh my...;;;-18;10;;;Oh, please;;;10;-18;;;;
newstuff;;1414;vampire;;vampiremet;100;300;I seek a cure for the foul curse that has kept me awake for centuries... please help me before I kill again!;How?;;-15;-15;18;;>;Not interested;;15;15;-18;;>;;
newstuff;_;1415;vampire;;;;;The only cure is a magic spell written down in an ancient book lost to time! Alas! Oh!;Oh well;;;;-10;;;Stop crying!;;;10;;;;;
newstuff;play_eclipsebook;1416;vampire;;see_vampire and vampiremet;0;max;This book.... could it contain the magic to cure my curse?! My Queen, will you read the incantation?;;;;;;;>;;;;;;;;;
newstuff;_;1417;vampire;;;;;I can feel myself changing! At last, I'll... huh? But I feel so strange... eek... skreeeeeeeek!;Are you okay?!;<i>*poof!* Before your eyes, the vampire transforms into a tiny bat, and flies away!!</i>;;;;;;Calm down;<i>*poof!* Before your eyes, the vampire transforms into a tiny bat, and flies away!!</i>;;;;;;del_vampire and vampirewin;
newstuff;play_redspellbook;1418;vampire;;see_vampire and vampiremet;0;max;This is not the right magic book to cure my curse! *Sob* *sob* Am I truly doomed to hunger for eternity?;;;5;;;;;;;-5;;;;;;
newstuff;play_blankspellbook;1419;vampire;;see_vampire and vampiremet;0;max;There's nothing in this book at all! This cannot help.... alas, my Queen, am I doomed?!;;;5;;;;;;;-5;;;;;;
newstuff;play_enameledbone;1420;vampire;;see_vampire;0;max;Gahhhhh! It burns me! Do you truly wish to banish me, O Queen?;Yes!;<i>Stung by your holy relic, the vampire flees your kingdom!</i>;25;;;;del_vampire;Nah;<i>It's mildly entertaining to see him suffer.</i>;-15;;;;;;
newstuff;;1421;doctor;;!has_vampire and vampiremet;100;60;That vampire is lurking around the churchyard again. Do you want me to let him back in?;;;-15;;15;;add_vampire;;;18;;-20;;;;
newstuff;play_clearperfume;1422;vampire;;see_vampire;0;max;Is this feeling... love? But I am an accursed being, who will only bring you to harm and devilry!;I don't mind;;-15;;15;;curse_reign;True, forget it!;;15;;-15;;;;
newstuff;;1423;vampire;;curse_reign;30;50;My Queen... may I secretly drain the blood of the lambs in the farmlands?;Okay;;-25;-10;15;;>>;No!!!;;25;12;8;;;;
newstuff;_;1424;farmer;;;;;Help! A vampire drained the blood of all my lambs! What can I do?!;Pray;;18;-8;;;;I'll reimburse you;;-5;8;15;-28;;;
newstuff;;1425;vampire;;curse_reign;30;300;When a man is haunted and mysterious, he is more desirable. Don't you think, my love?;Totally;;;-20;19;;;Grow up!;;;20;-19;;;;
newstuff;;1426;vampire;;curse_reign;30;300;If you love me, you will build me a vampire library in the palace, to research my curse.;All right...;;;;20;-30;;Too obvious;;;15;-20;;;;
newstuff;;1427;vampire;;curse_reign and has_king;25;300;The constant agony of our secret affair fills me with hunger. I must taste royal blood!;Bite me!;<i>The vampire sinks his fangs into your throat! ...It's actually a little less intense than you hoped. Oh well.</i>;-10;-10;12;;>_queencurse and queenvamp_reign;Bite the King!;<i>You make sure to stay away from the royal bedchamber that night. It's their business!</i>;15;15;-20;;>>>;;
newstuff;_;1428;chamberlain;;;;;It's horrible! The King has been attacked by the vampire, and is afflicted with fever! How could this happen?!;Oh, no!;;10;10;-12;;>;Well...;;-10;-10;12;;>;;
newstuff;_;1429;doctor;;;;;If we don't do something quick, we could end up with a vampire king! That'd be so weird. What do we do?!;Let's think...;;;;;;>_vampireking;Burn him!;<i>The afflicted king is immolated before he can 'turn', and you are forced to take the throne!</i>;;;;;del_king;add_merchant and add_general and add_handmaid;
newstuff;_vampireking;1430;archbishop;;;5;30;The Queen has invited evil into this court! Only faith will save the King's life. I recommend a day of prayer.;Let's do that;;20;-18;-10;-15;>>_kingcure;What else?;;;;;;>_vampireking;;
newstuff;_vampireking;1431;merchant;;;5;30;Let's try this expensive formula I ordered from the West. It says 'Vampire Medicine' right on it! Trust me!;Let's do that;;-22;12;10;-36;>>_kingcure;What else?;;;;;;>_vampireking;;
newstuff;_vampireking;1432;general;;;5;30;I've finally tracked down the original vampire! If you bid me to slay him, the King will get well!;Let's do that;;8;22;-19;-10;>>_kingcure and del_vampire;What else?;;;;;;>_vampireking;;
newstuff;_vampireking;1433;handmaid;;;5;30;Love cures all curses! My lady, you must give His Highness the kiss of true devotion....;I'll try...;;-20;-20;20;;>>_kingcure;That won't work!;;;;;;>_vampireking;;
newstuff;_vampireking;1434;chamberlain;;;5;10;My Queen! You must choose something! We can't just wait and see!;Yes we can;;-18;-18;-18;-18;>;Options again?;;;;;;>_vampireking;;
deaths;_;1435;anyone;;;;;The end is near! The King has turned into a vampire, and the others are begging to join him!;What...;;;;;;>_end_vamp;What....;;;;;;>_end_vamp;;
deaths;_end_vamp;1436;end>vampire_horde;;;;max;<i>Your palace falls to a vampire horde! You try to hide, but eventually they persuade you to join their undying revels...</i>;;;;;;;;;;;;;;;;
newstuff;_kingcure;1437;king;;;;;I'm finally feeling better after that weird fever. Tell me the truth, wife: Do you know what it was?;;Vampires! <i>He laughs.</i> You read far too many silly books, my dear girl.;-19;-18;-19;-18;;;<i>He wouldn't believe you anyway. At least everything is mostly back to normal!</i>;15;10;15;10;;;
newstuff;_queencurse;1438;doctor;;;;;Hm, you're running a fever. And these bite marks! Did the vampire attack you, too?;Well...;;-2;-1;1;;>>>;I'm fine;;2;1;-1;;>>>;add_king;
newstuff;_;1439;king;;;;;Brrr! You're cold to the touch, dear wife! Are you sure you're quite well?;Yep;;1;1;-1;;>>;Actually, I...;<i>I know!</i> he announces. <i>I'll buy you some fine fur blankets! Bye now!</i>;-1;-1;1;-2;>>;add_handmaid;
newstuff;_;1440;handmaid;;;;;Y-Your highness? You... haven't been yourself lately, and the ladies are afraid...;Bite her!;<i>The first taste of courtly blood is intoxicating! You are unable to stop, and <handmaid> dies!</i>;-1;-1;-1;-1;del_handmaid and >>;Ignore her;<i>It's true your body has begun to shake, and you often feel extremely hungry.</i>;1;1;1;1;>>;add_chamberlain;
newstuff;_;1441;chamberlain;;;;;You wanted to see me alone, my Queen? Oh dear, you look unwell! And... why are you looking at me like that?;Bite him!;<i>The hunger only deepens! You cannot help but drink poor <chamberlain> to his pale death!</i>;-1;-1;-1;-1;del_chamberlain and >>;Ignore him;<i>Your tremulous fever has now grown very serious. You're not sure how much longer you can hold out...</i>;1;1;1;1;>>;add_archbishop;
newstuff;_;1442;archbishop;;;;;The Queen has become a demon! Surely she's the one responsible for the unholy deaths! Destroy her!;Bite him!;<i>You lunge for <archbishop>! The thrill of holy blood cannot be described...</i>;-100;-100;-100;-100;>;Ignore him;<i>The Cardinal and his mob of demon-hunters drive you into a corner!</i>;100;100;100;100;>;add_hunter;
deaths;_;1443;hunter;;queenvamp_reign;max;max;Forgive me, Your Majesty! But we cannot let you live as a vampire!;What...;;;;;;>;What...;;;;;;>;;
deaths;_end_queenvamp;1444;end>vampire;;queenvamp_reign;max;max;A mob pelts you with garlic, crosses and holy water. The giant wooden stake only comes in at the very end, thankfully.;;;;;;;;;;;;;;;;
newstuff;wishingwell;1445;handmaid;;dynasty>5 and !has_frprincess and !has_frog and has_maze;200;40;They say there's an ancient wishing well at the edge of the forest. My Queen, please let us go and look for it!;;;;-18;12;;>;;;;18;12;;;add_hunter;
newstuff;_;1446;hunter;;;;;Your Majesty, the woodlands are not safe for you and <handmaid> alone. Please let me accompany you!;Go ahead;<i>He escorts you and your handmaid to the ancient well. It's a perfectly safe trip.</i>;;;;;>_wishingwell;No, it's a girls' day!;;;;;;>_wishingwell;;
newstuff;_wishingwell;1448;maze>well;;;;;<i>It's quiet here... almost too quiet. Throw a coin in the well and make a wish?</i>;;<i>Only you know the wish deep in your heart. Your gold coin disappears into the well.</i>;;;10;-2;>>>;;<i><hunter> makes the conversation awkward. A fruitless trip, this time.</i>;;;-10;;;;
newstuff;_;1447;handmaid;;;;;Remember the coin you threw down the well? This morning I found that same coin... on your pillow!;Really?;It's as if someone brought it back for you, <i>she marvels.</i>;;;5;;;Can't be;I'm sure it is, <i>she insists.</i> Let's go to the well alone next time!;;;-5;;;add_frog;
newstuff;_maze;1449;maze>well;;has_frog and !has_frprincess;;10;<i>The air is rich with the sound of birds and insects. Throw a coin in the well and make a wish?</i>;;<i>Only you know the wish deep in your heart. Your gold coin disappears into the well.</i>;;;;-2;>;;;;;;;;>_maze;
newstuff;_ ;1450;frog;;;;;Blub blub? Ribbit, ribbit. Ribbit!;Huh?;<i>The frog returned your coin! It must be smart. But you don't speak frog....</i>;;;;;>;Eeeeeew!!;<i>You throw the gross frog back into the well and run away!</i>;;;;;;;
newstuff;_;1451;frog;;;;;<i>She looks at you expectantly.</i>;Pet her;<i>Sticky. It doesn't seem to do anything for her, either. You leave the well.</i>;;;;;;Leave the well;;;;;;;;
newstuff;play_redspellbook;1452;frog;;see_frog and !transform and !frogcure;0;10;OMG, you understand me! A witch transformed me and forced me to live in this gross well!;What did you do to her?;;;12;-10;;>;Aw, no!;;;-12;10;;>;;
newstuff;_;1453;frog;;;10;10;A witch did it. She was so totally jealous of me. Can't you see how much potential I have?;Totally;;;;;;>;...As a frog?;;;;;;>;;
newstuff;_;1454;frog;;;10;10;Please find a way to help me change back. I deserve it! Go ahead, take these coins I found in here. ;Sure!;<i>There was a lot of gold in there! You pledge to try to help the frog.</i>;;;;25;;People's wishes?;<i>You decline the gold, but will keep the frog in your thoughts.</i>;10;10;10;;;frogmeet;
newstuff;;1455;witch;;frogmeet and !has_frprincess;del;80;You met a talking frog? Oh, no. It's gotta be that princess. Did she make you promise to help her?;;Trust me,<i> she says. </i>Don't change that frog back. I won't help.;10;-10;;;;;<i><witch> doesn't seem to believe you, and strides off in annoyance.</i>;;10;-10;;;;
;;1456;doctor;;frogmeet and !has_frprincess;del;80;In my studies I have seen a few rare cases of people transforming into frogs. The cure is the kiss of love...;I'm ready....;;-19;;12;;>;Ew, seriously?;;19;;-12;;>;;
;_;1457;doctor;;;;;Ha ha, kidding, kidding! You touch a pressure point between her eyes. Then pull her third back toe. Got it?;I think so;;;;;;;I will not!;;;;;;;frogcure;
newstuff;;1458;handmaid;;frogcure;400;20;There's a frog in your private garden. I think it's the same one from the well! Shall I bring her in?;;;;;;;>;;;;;;;;;
newstuff;_;1459;frog;;;10;10;Ribbit-blub ribbit! Rib-bit!;Ribbit!;<i>You still can't really speak frog. She doesn't understand you.</i>;;;;;;Never mind;;;;;;;;
newstuff;play_redspellbook;1460;frog;;see_frog and frogcure and !has_frprincess;0;max;You got the cure from your royal doctor?! Amazing! So, what do we do?;Grab her leg;<i>This seems to hurt her. Instinct kicks in, and the frog leaps away!</i>;;;;;;Touch her face;<i>You press a spot between the frog's eyes.</i>;;;;;>;;
newstuff;_;1461;frog;;;;;Ooh. That felt right. What do we do now?;Count her toes;<i>You find the third toe in the back as the doctor instructed, and gently pull...</i>;;;;;add_frprincess and del_frog and >;Pull her tongue;<i>This seems to hurt her. Instinct kicks in, and the frog leaps away!</i>;;;;;;;
newstuff;_transformprincess;1462;frprincess;;;;;Geez, what took you so long!  Well, I'm the most beautiful girl in the world again, and that's all that matters.;Congrats;;10;-20;-19;;>;Excuse me?;;;20;19;;>;;
newstuff;_;1463;frprincess;;;;;I'll just enjoy myself at your court until my family in the South comes to get me. Can I have some spending money?;;;;;;-38;;;;;-19;-18;;;;
newstuff;;1464;frprincess;;;400;30;I was a frog for a whole year, so I learned a lot about suffering. Why not pay me to inspire your peasants?;;<i>She commissions drawings of herself to hand out to the farmers.</i>;10;;-17;-18;;;<i>That's okay,</i> she says. <i>Not everyone has the resources to take care of others.</i>;-10;17;;10;;;
newstuff;;1465;frprincess;;;400;30;I have an idea. Let's give a royal gown to every farmer's daughter, so she is motivated to achieve.;;<i>The women can't really work in those gowns. Productivity falls and they seem resentful.</i>;-8;-8;-18;-19;;;Let me know if you ever decide to free this kingdom from negativity, <i>she says.</i>;8;8;18;19;;;
newstuff;;1466;frprincess;;;400;30;You should offer free harpsichord training to every girl over the age of 8. They need technical skills to overcome inequality!;;<i>There aren't actually that many harpsichord jobs. A lot of young people end up unemployed.</i>;;-19;10;-17;;;Hm. I personally believe in lifting up others with my own success, <i>she says.</i>;;19;-10;17;;;
newstuff;;1467;frprincess;;;400;30;Can you please buy nicer caviar? I know it seems frivolous, but nothing motivates me to do good works like quality fish oils!;Love it;<i>Your kingdom incurs a significant expense for a slight taste improvement.</i>;;-17;;-30;;You don't do anything;<i>I don't call it charity 'work,' because for me, it's fun. It looks like I'm relaxing, but I'm helping people!</i>;17;17;;;;;
newstuff;;1468;frprincess;;;400;30;Can I try doing your hair? I have experience with texture problems like yours.;;<i>When she's done, your hair stands completely on end. It's awful.</i>;;;-18;;;;<i>My other Western friend used to let me do her hair all the time,</i> she sulks.;;;18;;;;
newstuff;;1469;frprincess;;;400;30;You and the King should sit on embroidered mats instead of thrones, to look more approachable.;;<i><chamberlain> trips over the King many times. The thrones are quickly reinstated.</i>;-15;-18;;15;;;I would ask yourself why you need the symbolic authority over everyone,<i> she says.</i>;15;18;;;;;
newstuff;;1470;frprincess;;;400;30;In my land, I personally dug latrines to help the poor. I did a great job. You should try that!;;<i>You aren't sure what you're doing, but who cares! You're helping!</i>;;;15;15;>;;It's disappointing when a leader isn't willing to get her own hands dirty,<i> she sniffs.</i>;;;;;;;
deaths;_;1471;farmer;;;;;Why is the Queen digging all these holes in my yard... Your Majesty, be careful! You'll fall in! ;What...;;-100;-100;-100;-100;>;What...;;-100;-100;-100;-100;>;;
deaths;_end_latrine;1472;end>toilet;;;0;max;You fall face-first into one of your own poorly-dug latrines and suffocate in the muck. No one will be able to use that.;;;;;;;;;;;;;;;;
;play_pistol;1473;frprincess;;see_frprincess;0;max;A duel? Don't you think that's kind of.... well, I don't judge. Are we going to your little duel room?;;;;;;;>_duel_frog1;Never mind;I was sooooo busy working on all my charities, so actually, I'm relieved, <i>she says.</i>;;;;;;;
duel;_duel_frog1;1474;owl;;;;;When royal ladies clash, the world itself will shake! Listen to my song, and fire on the snake.;Got it;<i>You and <frprincess> take your positions back to back.</i>;;;;;>;What?;<i>It seems the Owl is already beginning!</i>;;;;;>;;
duel;_;1475;owl>timer;;;;;A noble queen gains accolades, a kind one, even more. Here's a thing about compassion, though -- you can't be keeping score.;<i>Fire!</i>;;;;;;>_duel_missed;<i>Step forward</i>;;;;;;>;;
duel;_;1476;owl>timer;;;;;A smart queen knows of many things, a wise queen knows she doesn't. For what was once the best for thee, for others maybe t'wasn't.;<i>Fire!</i>;;;;;;>_duel_missed;<i>Step forward</i>;;;;;;>;;
duel;_;1477;owl>timer;;;;;It does no good to writhe and grasp at chances to impress! For every Cleopatra has an asp inside her dress.;<i>Fire!</i>;;;;;;>_won_frprincess;<i>Step forward</i>;;;;;;>;;
duel;_;1478;owl>timer;;;;;This world does silence loving queens and cruel ones all alike. Still, some folk need a ruler like a salmon needs a bike.;<i>Fire!</i>;;;;;;>_duel_die;<i>Step forward</i>;;;;;;>_duel_die;;
duel;_won_frprincess;1479;frprincess;;;;;Oh well, I lost. I suppose I never really listen to the poems, I just wait for my turn. So now what am I supposed to do?;Work in my kitchen!;<i>The real work seems to humble her very slightly, but otherwise nothing changes.</i>;15;15;15;15;;Leave my kingdom!;<i>Strange how her family never answered your letters. You send her home in an uncomfortable carriage.</i>;-15;-15;-15;-15;del_frprincess;;
newstuff;;1480;witch;;has_frprincess;300;60;Are you getting to know the frog princess? I bet you wish she'd turn back into a gross creature!;Please;;-17;15;-15;-17;>;She's cool;;17;-15;15;17;;;
newstuff;_;1481;witch;;;10;10;You gotta spray her with something made with bergamot. And it'll only work under a fire sign! Understand?;Got it;;-10;;19;;;Why can't you do it?;<i>I told you not to help her,</i> <witch> cackles.;10;-19;;;;witchclue;
newstuff;;1482;priestess;;witchclue;300;60;How fare your studies of astrology, sacred Queen? Is there any way I can assist?;Fire signs?;;;;;;>;No, I'm an expert!;;;;;;;;
newstuff;_;1483;priestess;;;;;Each of the four elements has three signs associated. The fire signs are <*Aries, Leo,*> and <*Sagittarius.*>;I understand;;;;;;;This never ends!;;;;;;;;
newstuff;play_clearperfume;1484;frprincess;aries;see_frprincess and witchclue;0;max;What was that for? Oh no, I feel weird... how could you do this? What about solidarity, sisterhood and r-r-ribbit! Ribbit!;Bye now;<i>You watch as <frprincess> transforms back into a frog. It's pretty satisfying.</i>;;;;;del_frprincess;Don't croak!;<i>You watch as <frprincess> transforms back into a frog. It's pretty satisfying.</i>;;;;;del_frprincess;;
newstuff;play_clearperfume;1485;frprincess;leo;see_frprincess and witchclue;0;max;What was that for? Oh no, I feel weird... how could you do this? What about solidarity, sisterhood and r-r-ribbit! Ribbit!;Bye now;<i>You watch as <frprincess> transforms back into a frog. It's pretty satisfying.</i>;;;;;del_frprincess;Don't croak!;<i>You watch as <frprincess> transforms back into a frog. It's pretty satisfying.</i>;;;;;del_frprincess;;
newstuff;play_clearperfume;1486;frprincess;sagittarius;see_frprincess and witchclue;0;max;What was that for? Oh no, I feel weird... how could you do this? What about solidarity, sisterhood and r-r-ribbit! Ribbit!;Bye now;<i>You watch as <frprincess> transforms back into a frog. It's pretty satisfying.</i>;;18;;;del_frprincess;Don't croak!;<i>You watch as <frprincess> transforms back into a frog. It's pretty satisfying.</i>;;;18;;del_frprincess;;
;play_clearperfume;1487;frprincess;;see_frprincess;0;10;Phew. Is that meant to be nice? Too much bergamot. Why don't you add a little pink pepper?;;;;;8;-15;;;;;;-8;15;;;
newstuff;>_visitzoo;1488;frog;;;4;10;Blub, blub, blub, blub, croak!;<i>Next animal</i>;;;;;;;<i>Exit the zoo</i>;;;;;;;;
festival;;1490;king;;dynasty>5;180;40;We should have a big summer fair. It should last a month, with contests and prizes for everyone! Are you in?;;;8;8;8;-20;>;;;-10;-10;-10;;;;
festival;_;1491;chamberlain;;;10;10;The summer festival will now begin! My Queen, please honor us with your choice: Who will present their talent this year?;Wooooooooo!;<i>A sea of flower garlands is thrown at your feet.</i>;-15;-15;15;15;>_summerfest;<i>Wave elegantly</i>;<i>A tribute of fine cloths, spices and silver are brought to your dais.</i>;15;15;-15;25;>_summerfest;;
festival;_summerfest;1492;priestess;;;7;10;I'm prepared to read horoscopes for all of the landed gentry.;Do it;;;;;;>_festresult;Hmm....;;;;;;>_summerfest;;
festival;_summerfest;1493;chamberlain;;;7;10;I hate to admit this to people, but I used to be a jester! Shall I show my juggling?;Do it;;;;;;>_festresult;Hmm....;;;;;;>_summerfest;;
festival;_summerfest;1494;hunter;;;7;10;I can hit the center of the hedge maze from right here on the palace steps!;Do it;;;;;;>_festresult;Hmm....;;;;;;>_summerfest;;
festival;_summerfest;1495;nun;;;7;10;You'll love this: I can recite the whole Holy Book, cover to cover, from memory!;Do it;;;;;;>_festresult;Hmm....;;;;;;>_summerfest;;
festival;_summerfest;1496;cossack;;;7;10;This festival is for daffodils. I'll spice it up! I'll wrestle any animal the crowd chooses and win!;Do it;;;;;;>_festresult;Hmm....;;;;;;>_summerfest;;
festival;_summerfest;1497;handmaid2;;;7;10;My singing is famous in my lands. Please, O Queen, let me perform!;Do it;;;;;;>_festresult;Hmm....;;;;;;>_summerfest;;
festival;_summerfest;1498;banker;;;7;10;I can solve complicated financial mathematics right before your very eyes. Everyone will be amazed! ;Do it;;;;;;>_festresult;Hmm....;;;;;;>_summerfest;;
festival;_summerfest;1499;general;;;7;10;I'm sure you assume my talent is swordplay. But in fact, it's cooking. Let me dazzle your tastebuds with my fruitcake!;Do it;;;;;;>_festresult;Hmm....;;;;;;>_summerfest;;
festival;_festresult;1500;nobleman;;;5;10;Wonderful event this year, my Queen! After that performance, I feel inspired to donate more to the church!;Good!;;20;;;-20;;No!! ;;;;;;;;
festival;_festresult;1501;nobleman;;;5;10;My Queen, I found this year's performance a little... culturally insensitive. I will be investing more in social programs.;Good!;;;;20;-20;;Please don't;;;;;;;;
festival;_festresult;1502;nobleman;;;5;10;That was supposed to be funny, right? Loved it! Here's some gold to pay tribute to the Queen for a good year.;Good!;;;;10;30;;No thanks;;;;;;;;
festival;_festresult;1503;nobleman;;;5;10;This year's performance has filled me with patriotic feelings. I shall do more to support our Kingdom's pride!;Good!;;;20;;10;;No thanks;;;;;;;;
festival;_festresult;1504;nobleman;;;5;10;Previous festival years were more exciting. Is this dynasty... weaker than in previous years?;Maybe;;-15;-15;-15;-15;;How dare you!;;15;15;15;15;;;
affairs;;1505;hunter;;affair1_reign;400;60;The King's loyal huntsman and his virtuous Queen... it's like a fairy tale! Please, run away with me!;I will!;;;;;;>>>_runaway and runking;Haha nope;;;;;;;;
affairs;;1506;hunter;;affair1_reign;400;30;For you, my sweet: A coat made of all the land's rarest pelts. Will you accept?;I will!;<i>The fur coat of forbidden love becomes part of fairy tales a few generations later.</i>;;;10;30;;Ew, no;;;;-20;-10;;;
affairs;;1507;hunter;;affair1_reign;400;40;I stand beneath your window by moonlight every night, just to keep watch over you.;How romantic;;;-10;10;;;That's creepy;;;10;-10;;;;
affairs;;1508;explorer;;affair2_reign;400;40;Let's have an open relationship! If I date other ladies at court, it will make you seem trendy and progressive.;I'm into it;;-18;-18;18;;;Nice try;;18;18;-18;;;;
affairs;;1509;explorer;;affair2_reign;400;40;I like your hair much better when you wear it down. Will you challenge courtly beauty standards? For me?;I will!;;-10;-10;10;;;I wear it how I like;;10;10;10;;;;
affairs;;1510;explorer;;affair2_reign;400;60;I've stolen treasures from many lands, but you are my favorite. Let's run away from here and live a life at sea!;I will!;;;;;;>>>_runaway and runking;Haha nope;;;;;;;;
affairs;;1511;cossack;;affair3_reign;400;60;This place is nothing but a gold cage for you. Run away with me and live with me in my land, as my equal partner!;I will!;;;;;;>>>_runaway and runking;No...;;;;;;;;
affairs;;1512;cossack;;affair3_reign;400;40;Now that we're... close, will you let me train you in the ways of strength? It'll be fun.;I'm into it;;-12;12;;;;Not my thing;;12;-12;;;;;
affairs;;1513;cossack;;affair3_reign;400;40;Let me carry your lace kerchief into battle with me. It will be the last thing those weaklings see before I conquer them!!;I'm into it;;;18;;-3;;Not my thing;;;-18;;3;;;
affairs;;1514;priestess;;affair4_reign;400;40;Wouldn't it be thrilling to... study our astrological charts in the chapel, when no one is there?;I'm into it;;-20;;10;;;Not my thing;;20;;-10;;;;
affairs;;1515;priestess;;affair4_reign;400;40;Let me braid a crown of violets into your hair. It's my people's emblem of love, but no one here will know...;Let's do it;;;10;15;;;Too risky;;;;-10;-15;;;
affairs;;1516;priestess;;affair4_reign;400;40;Run away with me to the woods! The Lady of the Wood will give us a true marriage, in the gaze of the All-Mother.;Let's do it!;;;;;;>>>_runaway and runking;I can't;;;;;;;;
deaths;_runaway;1517;king;;;10;50;My faithless wife is trying to escape with her secret lover!! How can this be! G-Guards, do something!;What...;;;;;;>_end_prison and !runking;What...;;;;;;>_end_prison and !runking;;
;play_clearperfume;1518;king;;see_king and runking;0;max;What was I saying? I must have been distracted by the beauty of my dear, loyal wife.;Tee hee;;;;;;>>;Phew!;;;;;;>>;!runking;
deaths;_runaway;1519;handmaid;;;10;50;Get in the laundry cart! I'm smuggling you and your lover safely out of here. Shh! Hurry!;What...;;;;;;>_end_romance;What...;;;;;;>_end_romance;!runking;
deaths;_end_prison;1520;end>cleaning;;;0;max;As punishment for your affairs, you're stuck cleaning the palace prisons for the rest of your days. Oh, love!;;;;;;;;;;;;;;;;
deaths;_end_romance;1521;end>boredom;;;0;max;The first years of exile with your true love are nice. Then come the decades of hunger, boredom and quarrels. Then you both die.;;;;;;;;;;;;;;;;
;;1522;archbishop;;dynasty>5;100;30;Can you not help me out a little? If you do even one religious class, the Holy Father will be pleased with me.;Okay;;20;-20;;;>_1524;Why should I?;;-10;;;;>;;
;_;1523;archbishop;;;;;The circumstance is urgent, that's why! Suppose I promise to leave you alone for the rest of your life?;I'm listening;;10;;;;>;It's still a no;;;;;;;;
;_;1524;archbishop;;;;;Let us begin with some facts. Why are women cursed to be weaker than men?;Ate too much fruit?;;2;;;;>;Ugh, forget this!;<i>The archbishop will be in trouble once his supervisor hears you dropped out of his class.</i>;-18;10;;;;;
;_;1525;archbishop;;;;;Very good. And can you explain why the Crown must give shares of its gold to the church every month?;To buy more relics?;;2;;;;>;Nevermind, I quit!;<i>The archbishop will be in trouble once his supervisor hears you dropped out of his class.</i>;-18;10;;;;;
;_;1526;archbishop;;;;;Something like that. Finally, why must the Queen always dress in modest garb?;To avoid temptation;;2;;;;>;Who cares!;<i>The archbishop will be in trouble once his supervisor hears you walked out of class!</i>;-18;10;;;;;
;_;1527;archbishop;;;;;The Holy Father will be glad to know you finished the first class. Now you must come to the second one!;What?!;<i>He quickly glides away before you can confront him...</i>;-20;;;;>;We had a deal!;<i>He quickly glides away before you can confront him...</i>;-20;;;;>;;
;_;1528;priestess;;;;;I see you learned the biggest lesson of all about this church: They always lie, and you can never make them go away.;I see;;-8;;10;;;Thanks for nothing;;5;;-12;;;;
;;1529;witch;;dynasty>5;600;50;How do you feel about dying so much?;I'm bad at this;;;-18;;;>;Death is a new beginning;<i>Good answer,</i> says <witch>. <i>You'll have to die often to find new ways of living.</i>;;18;;;;;
;_;1530;witch;;;;;Aw, don't think of death as failure. Every reign must come to an end, it's more about what you can do with each one.;;;;;;;;;;;;;;;;
zodiac;;1531;hunter;aquarius;clock;180;35;What does it mean that I'm an Aquarius?;Hard to read?;;;;10;;>;No one likes you;;;;-10;;>;;
